instruction,response,output,prompt,history,summary,his_len,type
in rhoads.,"in rhoads.
",Thank you for the update. The officers on scene will be notified. Would you like to be contacted by an officer?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: in rhoads.
Dispatcher:",[],,2,DrugsAlcohol
no alcohol glorification no one answered door need someone present to key in to apart,"Hello, this is the police. How can I help you?
",Sure. What kind of accident? Anyone hurt?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no alcohol glorification no one answered door need someone present to key in to apart
Dispatcher:",[],,1,DrugsAlcohol
thank you,"You are welcome. 
",You are welcome.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: or what information was disclosed when police were on scene
Dispatcher: The tip was submitted anonymously so there is no way for VCU PD to know who the submitter is and therefore would be unable to disclose such information. 
 User: thank you
Dispatcher:","[['or what information was disclosed when police were on scene', 'The tip was submitted anonymously so there is no way for VCU PD to know who the submitter is and therefore would be unable to disclose such information.']]",,11,DrugsAlcohol
Hello?,"Hello, this is the police department. How can I help you?
",Sorry yes an officer is allowed to smoke on the campus,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hello?
Dispatcher:",[],,3,DrugsAlcohol
Thank you,"You're welcome.
",You welcome,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Question: Does that Deputy smoke?
Dispatcher: For any other questions or concerns you have please contact Major [PERSON] at ###-###-#### 
 User: Thank you
Dispatcher:","[['Question: Does that Deputy smoke?', 'For any other questions or concerns you have please contact Major [PERSON] at ###-###-####']]",,18,DrugsAlcohol
or cigars.,"or cigars.
",ok thank you. We will have someone there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: or cigars.
Dispatcher:",[],,4,DrugsAlcohol
didn't pee thou. joked that he dis,"I'm sorry to hear that.
","we have notified PRT, were going to send officers to the area","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: didn't pee thou. joked that he dis
Dispatcher:",[],,5,DrugsAlcohol
"I am not sure, I am watching out of my window and an officer has arrived","Ok, I see. Is the officer at your house?
",Do you know if she is injured?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I am not sure, I am watching out of my window and an officer has arrived
Dispatcher:",[],,11,DrugsAlcohol
real.,"real.
",welcome is this real or a test officer need to know,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: real.
Dispatcher:",[],,3,DrugsAlcohol
also seems ironic he would leave when cops show up,"i'm not sure why he would leave, but i'm glad you called.
",Do you know the name of this [NORP]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: also seems ironic he would leave when cops show up
Dispatcher:",[],,1,DrugsAlcohol
"he also seemed really paranoid? and when he left everyone in the room goes ""he is definitely high right now""","I understand.
","A report will be filed in reference to your concerns and forwarded to the necessary channels. If you have any other information, questions or concerns please feel free to contact us again.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: he also seemed really paranoid? and when he left everyone in the room goes ""he is definitely high right now""
Dispatcher:",[],,15,DrugsAlcohol
to the left of #### ##rd street,"is it a house party?
",Thank you we sent officers to the area. Is there still a party in the area?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: there is a party going on next door
Dispatcher: thank you for using [UNK-NNP]. where is the party? 
 User: to the left of #### ##rd street
Dispatcher:","[['there is a party going on next door', 'thank you for using [UNK-NNP]. where is the party?']]",,3,DrugsAlcohol
i didnt see any markings on them,"that's right.
","At this time, we can not search the room or it's persons without probable cause. If you can supply any more information about the drugs and their type it would be helpful. We do appreciate your tip and will pursue this as far as possible at this time.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i didnt see any markings on them
Dispatcher:",[],,3,DrugsAlcohol
i want this anonymous though,"hello, how can i help you?
","Ok no problem will will send officers and the duty [ORG]. I will advised the officers that you want to remain anonymous, that is not a problem","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i want this anonymous though
Dispatcher:",[],,3,DrugsAlcohol
his name is yuan lu,"Yuan Lu
",Thank you for the information. I suggest that you inform your [NORP] in the morning or when you have time. So this does not happen again. And maybe have the [NORP] remind your roommate of the no smoking policy,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: maybe youll see them outside
Dispatcher: Officers are making contact 
 User: his name is yuan lu
Dispatcher:","[['maybe youll see them outside', 'Officers are making contact']]",,13,DrugsAlcohol
if an officer was out there he would just kind of smell it generally so its difficult to pinpoint. i smelled it on the north side but it may be anywhere,"Is the smell of gas?
","[ACRONYM], we have an officer responding, if you obtain any further pertinent information please advise us. Thank you.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: if an officer was out there he would just kind of smell it generally so its difficult to pinpoint. i smelled it on the north side but it may be anywhere
Dispatcher:",[],,5,DrugsAlcohol
top floor balcony,"dispatcher
",Thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: top floor balcony
Dispatcher:",[],,7,DrugsAlcohol
