instruction,response,output,prompt,history,summary,his_len,type
I think he left,"Can you tell me where you saw him last?
","ok, if you see him again let me know. [GPE] police has the description","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I think he left
Dispatcher:",[],,1,EmergencyMessage
you there????,"Yes, I am here.
",Thank you for contacting the JMU PD. We will process the information you provided. If you have any further information please let us know.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: you there????
Dispatcher:",[],,1,EmergencyMessage
hello back,"hello back
",Hello,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: hello back
Dispatcher:",[],,1,EmergencyMessage
my guess is he is going up to arnold,"ok, thanks for the call.
",Thank your for the information. Our officers checked the area and found nothing. They will continue to check that area.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: my guess is he is going up to arnold
Dispatcher:",[],,8,EmergencyMessage
"okay, I'll be waiting","Okay, I'll be waiting
",ok i am sedning an officer now to your location and you can speak with him,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: okay, I'll be waiting
Dispatcher:",[],,7,EmergencyMessage
### d entrance marijuana,"Hello, how can I help you?
",We notified an officer who will be,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ### d entrance marijuana
Dispatcher:",[],,2,EmergencyMessage
I need a donut,"ok, what is your location?
",you came to the right place!,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: hello again
Dispatcher: may we help you? 
 User: I need a donut
Dispatcher:","[['hello again', 'may we help you?']]",,3,EmergencyMessage
"nevermind email, reply here","hi there, how can I help you?
",Happy [UNK-NNP] [UNK-NNP] [UNK-NNP]. I sent an email as well.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: nevermind email, reply here
Dispatcher:",[],,1,EmergencyMessage
thank you so much!! sorry i wastes your time:/,"No problem! I'm glad I could help. 
",no worries. glad your car was okay :),"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: NEVERMIND!! it started!!! yay!! thank you!!
Dispatcher: Your welcome. Thanks for using the app! 
 User: thank you so much!! sorry i wastes your time:/
Dispatcher:","[['NEVERMIND!! it started!!! yay!! thank you!!', 'Your welcome. Thanks for using the app!']]",,9,EmergencyMessage
test message,"test message
",Thank you for your tip.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: test message
Dispatcher:",[],,1,EmergencyMessage
"Hi [UNK-NNP], can I get an update of the event? I am going home and wanted know if it is safe to enter the building. Thank you!","Hello, this is [UNK-NNP]. How can I help you?
","Hello, we apologize for the delay. Officers checked the area and the person was gone at the time of arrival. Please let us know if you have any questions or concerns.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi [UNK-NNP], can I get an update of the event? I am going home and wanted know if it is safe to enter the building. Thank you!
Dispatcher:",[],,14,EmergencyMessage
you*,"dispatcher
",It can take several days for items to be turned into our lost and found. Feel free to give us a call during the week to see if they get turned in.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: you*
Dispatcher:",[],,3,EmergencyMessage
