instruction,response,output,prompt,history,summary,his_len,type
not sure I left it was getting very rowdy,"Hello, this is the dispatcher. How can I help you?
",Are there any weapons involved?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: not sure I left it was getting very rowdy
Dispatcher:",[],,1,HarassmentAbuse
"Wait, yes i thinkthey're in the #### block.","Okay, so what's going on?
","Thanks for the tip, [ORG] will have officers respond to check the area.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Wait, yes i thinkthey're in the #### block.
Dispatcher:",[],,6,HarassmentAbuse
older looking late ##'s early ##'s possibly,"male or female in ##'s
",Is he usually in the area of [GPE]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: older looking late ##'s early ##'s possibly
Dispatcher:",[],,5,HarassmentAbuse
"thank you so much, seriously appreciate the protection","No problem, if you ever need anything else please give us a call.
",No problem. Take care and have a good night.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: she wanted to call the police but never did.
Dispatcher: We have officers in the area looking, if you hear anything else please give us a call. ###-###-#### 
 User: thank you so much, seriously appreciate the protection
Dispatcher:","[['she wanted to call the police but never did.', 'We have officers in the area looking, if you hear anything else please give us a call. ###-###-####']]",,6,HarassmentAbuse
a male,"a female
",thank you. we are letting the ### center know. do u have a description of the male and is this still happening?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: a male
Dispatcher:",[],,4,HarassmentAbuse
at warren,"at warren
",we are with that subject right now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: at warren
Dispatcher:",[],,11,HarassmentAbuse
parking lot,"dispatcher
",have a good day,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: parking lot
Dispatcher:",[],,4,HarassmentAbuse
sorry was. testing the app for livesafe!,"Welcome to the livesafe chat. I'm glad you're here.
",We have received your test message. Have a nice day.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sorry was. testing the app for livesafe!
Dispatcher:",[],,2,HarassmentAbuse
no officers.. im anonymous!!! duh,"Test: Are you in a safe place? 
",Do you feel unsafe?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: hellllllloooooooo!!!!
Dispatcher: Test: Did this happen today? Can i have an officer come and meet with you? 
 User: test: yes! he's here now!!!
Dispatcher: Test: Ok, are you able to send [ORG] a picture? We will send an officer down to your location. Where are you currently? 
 User: no officers.. im anonymous!!! duh
Dispatcher:","[['hellllllloooooooo!!!!', 'Test: Did this happen today? Can i have an officer come and meet with you?'], [""test: yes! he's here now!!!"", 'Test: Ok, are you able to send [ORG] a picture? We will send an officer down to your location. Where are you currently?']]",,8,HarassmentAbuse
Your message cuts out at [UNK-NNP] you,"I'm sorry, I'm having trouble hearing you. Can you speak up? 
",Do you have our contact information?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Ironically, I was directly involved in content and design of the [ACRONYM] HOTLINE [UNK-NNP] application.
Dispatcher: You can do whatever is most comfortable for you. We are willing to help you today or you can call or come in to the station whenever is convenient for you. Do you have our contact information? 
 User: Your message cuts out at [UNK-NNP] you
Dispatcher:","[['Ironically, I was directly involved in content and design of the [ACRONYM] HOTLINE [UNK-NNP] application.', 'You can do whatever is most comfortable for you. We are willing to help you today or you can call or come in to the station whenever is convenient for you. Do you have our contact information?']]",,12,HarassmentAbuse
they are not. they are in [ACRONYM]. we can hear them. and we prefer to stay anonymous,"I understand. I can't tell you how much I appreciate you calling us. We'll do everything we can to help you. 
",Can you give the name of the individuals making the threats?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they are now talking about burning things in the apartment
Dispatcher: Are they with you right now? 
 User: they are not. they are in [ACRONYM]. we can hear them. and we prefer to stay anonymous
Dispatcher:","[['they are now talking about burning things in the apartment', 'Are they with you right now?']]",,12,HarassmentAbuse
##-##yr,"##-##yr
",Do you wish to meet with officers?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ##-##yr
Dispatcher:",[],,3,HarassmentAbuse
yep,"[PERSON] wants to know why are you in [GPE]?? 
",We see you at [FAC] townhomes,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi [UNK-NNP]
Dispatcher: Hi, this is [PERSON] are being [UNK-NNP] 
 User: I brought some things to my daughter here and am visiting her!
Dispatcher: [PERSON] wants to know why are you in [GPE]?? 
 User: yep
Dispatcher:","[['Hi [UNK-NNP]', 'Hi, this is [PERSON] are being [UNK-NNP]'], ['I brought some things to my daughter here and am visiting her!', '[PERSON] wants to know why are you in [GPE]??']]",,6,HarassmentAbuse
