instruction,response,output,prompt,history,summary,his_len,type
I left after he took the elevator out of sight but I have not seen him since.,"That is great news. Can you tell me what he looked like?
","Thank you for the information, are you able to provide a better location as in where exactly in the [ORG] did you see the male walking around?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I left after he took the elevator out of sight but I have not seen him since.
Dispatcher:",[],,1,SuspiciousActivity
suspicious person is still here,"Yes, I can hear you.
",### what is your emergency?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: suspicious person is still here
Dispatcher:",[],,1,SuspiciousActivity
Thank you!,"You're welcome.
",OK thank you for the information. Officers are on the way.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thank you!
Dispatcher:",[],,3,SuspiciousActivity
city,"city-dispatcher
","Regretfully, there is nothing we can do at first. However, I've forwarded this along to our crime prevention officer who will in turn report this information to the [ORG] community liason. Thank you.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: city
Dispatcher:",[],,3,SuspiciousActivity
you guys better get over here quick,"we are on our way
",We have officers responding to your location. Do you have any further information?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: you guys better get over here quick
Dispatcher:",[],,1,SuspiciousActivity
they were late ##s early ##s,"they were late ##s early ##s
",thank you for using Live Safe. You have a great night.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they were late ##s early ##s
Dispatcher:",[],,10,SuspiciousActivity
blue hat blue shirt and there's a others crowding one with a jersey on,"Hi, this is the police department. How can I help you?
",Do not approah them. We have officers enroute.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: blue hat blue shirt and there's a others crowding one with a jersey on
Dispatcher:",[],,6,SuspiciousActivity
thabks,"thanks for calling the police department. What is your emergency?
",Thank you for contacting [ORG] PD,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thabks
Dispatcher:",[],,1,SuspiciousActivity
they all just left. but the white guy walked over towards [GPE] and [PERSON] and one of the black guys walked over there shortly after the white guy walked over there. then they returned at the same time. the white guy looked around a lot and seemed paranoid.,"Can you advise what the subjects are wearing?
",Thank you. Officers are checking the area.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: white guy has a black dog that is not on a leash but seems very laid back.
Dispatcher: Thank you for the information. Can you advise what the subjects are doing? 
 User: they all just left. but the white guy walked over towards [GPE] and [PERSON] and one of the black guys walked over there shortly after the white guy walked over there. then they returned at the same time. the white guy looked around a lot and seemed paranoid.
Dispatcher:","[['white guy has a black dog that is not on a leash but seems very laid back.', 'Thank you for the information. Can you advise what the subjects are doing?']]",,3,SuspiciousActivity
i saw them run towards the park when confronted,"thank you for reporting this, what is your name?
",Thank you [PERSON] is en route now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i saw them run towards the park when confronted
Dispatcher:",[],,4,SuspiciousActivity
I am on the late night bus now,"Hi, how can I help you?
",Thank you for contacting SCAD DPS. [ORG] is on site.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I am on the late night bus now
Dispatcher:",[],,1,SuspiciousActivity
# was charging cell at [ORG] in [GPE] earlier. Me and my lady were harassed repeatedly,"# [ORG] is a [GPE]
",where did you last see them?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: # was charging cell at [ORG] in [GPE] earlier. Me and my lady were harassed repeatedly
Dispatcher:",[],,3,SuspiciousActivity
