instruction,response,output,prompt,history,summary,his_len,type
Thank you for letting us know. We will increase security patrols in that area and review the cameras in an attempt to locate the individual(s) involved.,Is there anything else I can assist you with at this time?,Thank you for letting us know. We will increase security patrols in that area and review the cameras in an attempt to locate the individual(s) involved.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: 
Dispatcher: Thank you for contacting [ORG]. Sending security over. 
 User: Thank you for letting us know. We will increase security patrols in that area and review the cameras in an attempt to locate the individual(s) involved.
Dispatcher:","[['', 'Thank you for contacting [ORG]. Sending security over.']]",,7,TheftLostItem
Thank you so much. How long ago ?,?,Thank you so much. How long ago ?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: 
Dispatcher: Can i get a description of the person who stole the purse? 
 User: Thank you so much. How long ago?
Dispatcher:","[['', 'Can i get a description of the person who stole the purse?']]",,24,TheftLostItem
Para servirte.,Carcelera de [ORG],Para servirte.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: 
Dispatcher: [PERSON], hay [ORG] monedero [PERSON], pero [PERSON] identifiques, te pedimos acudir el dÃ­a l[ORG]es a la [GPE] con [PERSON], ella tiene en resguardo ese monedero. 
 User: Para servirte.
Dispatcher:","[['', '[PERSON], hay [ORG] monedero [PERSON], pero [PERSON] identifiques, te pedimos acudir el dÃ\xada l[ORG]es a la [GPE] con [PERSON], ella tiene en resguardo ese monedero.']]",,8,TheftLostItem
Inform him*,What kind of car do you have? It has to be a certain make and model.,Inform him*,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: 
Dispatcher: Hello, could you please tell us which level of the parking deck you're on and what kind of car you drive? We will send someone out to jump it. 
 User: Inform him*
Dispatcher:","[['', ""Hello, could you please tell us which level of the parking deck you're on and what kind of car you drive? We will send someone out to jump it.""]]",,11,EmergencyMessage
Ok. Thank you for informing us.,Where at on campus do you want the officer to meet with you?,Ok. Thank you for informing us.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: 
Dispatcher: Thank you for contacting [ACRONYM] through LiveSafe app. We will have an officer respond 
 User: Ok. Thank you for informing us.
Dispatcher:","[['', 'Thank you for contacting [ACRONYM] through LiveSafe app. We will have an officer respond']]",,7,EmergencyMessage
She was pushing him and chasing him and he was trying to hold her hands down so she wouldn't hit him,Where did this occur?,She was pushing him and chasing him and he was trying to hold her hands down so she wouldn't hit him,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: 
Dispatcher: He is in a red plaid shirt and she is in a black jacket w a red stripe at chest level 
 User: She was pushing him and chasing him and he was trying to hold her hands down so she wouldn't hit him
Dispatcher:","[['', 'He is in a red plaid shirt and she is in a black jacket w a red stripe at chest level']]",,12,EmergencyMessage
I think he had jeans and boots on,AND WHERE DO YOU SEE HIM?,I think he had jeans and boots on,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: 
Dispatcher: What is your location? 
 User: I think he had jeans and boots on
Dispatcher:","[['', 'What is your location?']]",,19,SuspiciousActivity
"Yes, this is totally anonymous",Where is he?,"Yes, this is totally anonymous","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: 
Dispatcher: Thank you for using LiveSafe. Do you know where in [GPE] he is right now? 
 User: Yes, this is totally anonymous
Dispatcher:","[['', 'Thank you for using LiveSafe. Do you know where in [GPE] he is right now?']]",,22,SuspiciousActivity
someone just threw one and it hit the back of my friend,#th floor of [ORG] what room?,someone just threw one and it hit the back of my friend,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: 
Dispatcher: Thank you for using LiveSafe. Where on University Ave? 
 User: someone just threw one and it hit the back of my friend
Dispatcher:","[['', 'Thank you for using LiveSafe. Where on University Ave?']]",,5,HarassmentAbuse
ok we will send someone to check on her,HEDERA ST?,ok we will send someone to check on her,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: 
Dispatcher: where are you located 
 User: ok we will send someone to check on her
Dispatcher:","[['', 'where are you located']]",,17,MentalHealth
