instruction,response,output,prompt,history,summary,type,his_len,i_tone,o_tone,r_tone
any news?,I'm sorry to hear that.,Officers have cleared from the scene. Occupants were advised on underage drinking.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: any news?
Dispatcher:",[],,NoiseDisturbance,9,,,
yes,What is the description?,Are they there now?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it varies from # to # right now.
Dispatcher: How many individuals are there and do you have a description by any chance? 
 User: yes
Dispatcher:","[['it varies from # to # right now.', 'How many individuals are there and do you have a description by any chance?']]",,NoiseDisturbance,3,,,
usually students are walking in and out. the easiest way is to enter through the side door on norton street,"ok, what is the emergency?",Thank you for the information.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: usually students are walking in and out. the easiest way is to enter through the side door on norton street
Dispatcher:",[],,NoiseDisturbance,3,90.5,99.0,
chat test!,"Hi, this is dispatcher.",test message received. no problems,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: chat test!
Dispatcher:",[],,NoiseDisturbance,1,,,99.0
the individuals seem belligerent to a certain degree - continuously being extremely loud,the dispatcher is supposed to be very calm and collected in this situation.,"Thank you for contacting the JMU PD. Since this involves an area off campus, your information is being forwarded to [ORG]. If you have further information you can respond here or contact them directly at ###-###-####.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: the individuals seem belligerent to a certain degree - continuously being extremely loud
Dispatcher:",[],,NoiseDisturbance,3,1.0,65.27,99.0
i could also tell them to stop.,You could also tell them to stop.,An Officer is in route thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i could also tell them to stop.
Dispatcher:",[],,NoiseDisturbance,3,,99.0,
#### Hunters Ridge L,#### Dispatcher,"Thank you for contacting the JMU PD. Since this involves an area off campus, your information is being forwarded to [ORG]. If you have further information you can respond here or contact them directly at ###-###-####.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: #### Hunters Ridge L
Dispatcher:",[],,NoiseDisturbance,3,,65.27,
I don't want anyone realizing security was notified.,That's fine.,I'll have an officer enroute,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I don't want anyone realizing security was notified.
Dispatcher:",[],,NoiseDisturbance,2,,,99.0
great thanks again!,"No problem, just call us back if you need anything else.",You're welcome.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: noise*
Dispatcher: Yes it is, no one will know you alerted us. 
 User: great thanks again!
Dispatcher:","[['noise*', 'Yes it is, no one will know you alerted us.']]",,NoiseDisturbance,7,99.0,99.0,
the music is still on. i think coming from the frats backyard facing the ##th sreet,I'm sorry to hear that. What is the nature of the problem?,We will be dispatching officers to the location. Thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: the music is still on. i think coming from the frats backyard facing the ##th sreet
Dispatcher:",[],,NoiseDisturbance,6,,99.0,
"This is just an ongoing thing. You dont have to come now. But this is every night, them being loud late at night.",OK. So they are being loud late at night.,A [ORG] officer responded and spoke to the residents. The residents were advised to keep their noise down.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: This is just an ongoing thing. You dont have to come now. But this is every night, them being loud late at night.
Dispatcher:",[],,NoiseDisturbance,1,,20.23,
thanks for mentioning the location services.,"sure, I'll give you the number of the local police department.","The location shows as ###-### [FAC], [GPE], NC #####, [GPE] so you can see the range it finds","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thanks for mentioning the location services.
Dispatcher:",[],,NoiseDisturbance,5,99.0,,
