instruction,response,output,prompt,history,summary,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Loud banging on door of room ### at [ORG]: drill.,Ok I have an officer on the way to check out the area.,standby until officers identify themselves for assistance leaving area,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user is participating in a drill at an undisclosed location ([LOC]) and sends a text message to test the system. They mention being locked in and hearing footsteps above them. The admin advises them to stay sheltered until a police officer arrives to clear them. The user then reports someone pulling on the door and loud banging, but clarifies that it is part of the drill. The admin instructs them to standby until officers identify themselves for assistance. The user provides more specific location information and the admin confirms that officers are on the scene and advises the user to stay in their room. The user acknowledges and reports hearing footsteps on the second floor. The admin reassures them that officers are checking the area and advises them to stay in their room. 
 User: This is part of the drill. Checking text message system. Texting from room ### at [ORG]. We are locked in. No sound of fun fire for ten minutes. Footsteps in room directly overhead. This is the drill.
Dispatcher: yes stay sheltered in place until police officer comes to clear you. 
 User: Acknowledged
Dispatcher: Someone pulled on the door of [ACRONYM] ###. Part of drill. 
 User: Loud banging on door of room ### at [ORG]: drill.
Dispatcher:","[['This is part of the drill. Checking text message system. Texting from room ### at [ORG]. We are locked in. No sound of fun fire for ten minutes. Footsteps in room directly overhead. This is the drill.', 'yes stay sheltered in place until police officer comes to clear you.'], ['Acknowledged', 'Someone pulled on the door of [ACRONYM] ###. Part of drill.']]","A user is participating in a drill at an undisclosed location ([LOC]) and sends a text message to test the system. They mention being locked in and hearing footsteps above them. The admin advises them to stay sheltered until a police officer arrives to clear them. The user then reports someone pulling on the door and loud banging, but clarifies that it is part of the drill. The admin instructs them to standby until officers identify themselves for assistance. The user provides more specific location information and the admin confirms that officers are on the scene and advises the user to stay in their room. The user acknowledges and reports hearing footsteps on the second floor. The admin reassures them that officers are checking the area and advises them to stay in their room.",1,9,99,,77.17,,9,11.11,88.89,44.44,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,0,0,22.22,0,22.22,0,0,0,0,0,0,0,0,0,0,77.78,11.11,0,0,0,0,66.67,0
Thank you,Thank you for using [ORG]. Results came back negative for any [ORG] in [ORG]. So long and may God bless.,Got it,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user sends a message to an admin in the morning regarding a test for a location. The admin responds, confirming that they have received the message. The user thanks the admin and the admin confirms that they have received the message at their organization. The user thanks the admin again and the admin acknowledges that they have received the message. 
 User: [DATE] morning [ORG] test for [GPE]. Please respond, thank you.
Dispatcher: Hello, message received 
 User: Thank you
Dispatcher: Received at [ORG] 
 User: Thank you
Dispatcher:","[['[DATE] morning [ORG] test for [GPE]. Please respond, thank you.', 'Hello, message received'], ['Thank you', 'Received at [ORG]']]","A user sends a message to an admin in the morning regarding a test for a location. The admin responds, confirming that they have received the message. The user thanks the admin and the admin confirms that they have received the message at their organization. The user thanks the admin again and the admin acknowledges that they have received the message.",1,2,1,99,,99,2,0,100,100,50,50,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,100,50,50,50,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
There has been a leak in my ceiling for the past half hour,LEARN FROM [ACRONYM] TEXT [ACRONYM] FOR UPDATES. WE[ACRONYM] NOT AWARE TO ANY LEAKS. THANK YOU.,We will contact maintenance. What is your room number?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a leak in their ceiling to an admin, who promises to contact maintenance. The admin asks for the user's room number, but the user does not provide it. Later, the user asks for an update and the admin responds that maintenance has been contacted and will address the issue in the morning, but does not specify a specific time. 
 User: There has been a leak in my ceiling for the past half hour
Dispatcher:",[],"A user reports a leak in their ceiling to an admin, who promises to contact maintenance. The admin asks for the user's room number, but the user does not provide it. Later, the user asks for an update and the admin responds that maintenance has been contacted and will address the issue in the morning, but does not specify a specific time.",1,13,89.52,7.93,98.89,,13,7.69,84.62,76.92,61.54,7.69,7.69,7.69,0,0,0,0,0,23.08,15.38,0,15.38,15.38,7.69,0,0,15.38,15.38,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,15.38,0,0,15.38,0,0,0,7.69,15.38,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emotional trauma,What's the nature of the#emergency?,Thanks,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user urgently asks for someone to come to Tate ### due to an emergency. The admin asks for more information and the user reveals it is emotional trauma caused by an overdose of medication. The admin confirms that security will be sent and asks if the person is conscious. The user confirms they are conscious and the admin assures them that an officer will be there. The user thanks the admin for their help and the admin is glad to assist. 
 User: Can you please come to Tate ###. It's urgent.
Dispatcher: Will send Security, what's the nature of the#emergency 
 User: Emotional trauma
Dispatcher:","[[""Can you please come to Tate ###. It's urgent."", ""Will send Security, what's the nature of the#emergency""]]",A user urgently asks for someone to come to Tate ### due to an emergency. The admin asks for more information and the user reveals it is emotional trauma caused by an overdose of medication. The admin confirms that security will be sent and asks if the person is conscious. The user confirms they are conscious and the admin assures them that an officer will be there. The user thanks the admin for their help and the admin is glad to assist.,1,2,,,,1,2,50,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,50,100,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello this is not an emergency. My name is [PERSON] and I would like to request an escort from [PERSON] to [FAC].,This is Dispatcher ####. Can you call or send a message to an officer and we will send an officer to meet you at the bus stop.,[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] OPERATING [ACRONYM] #:## [ACRONYM].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user contacts an admin to request an escort from one person to a facility. The admin responds with an acronym and operating number. The admin asks if there is a specific reason for a police escort. The user asks for someone to walk them to a bus stop and the admin asks if it is at the stop light. The user confirms and the admin asks for the name of the officer. The user gives the name and the admin confirms. The user thanks the admin and the admin responds with ""you're welcome."" 
 User: Hello this is not an emergency. My name is [PERSON] and I would like to request an escort from [PERSON] to [FAC].
Dispatcher:",[],"A user contacts an admin to request an escort from one person to a facility. The admin responds with an acronym and operating number. The admin asks if there is a specific reason for a police escort. The user asks for someone to walk them to a bus stop and the admin asks if it is at the stop light. The user confirms and the admin asks for the name of the officer. The user gives the name and the admin confirms. The user thanks the admin and the admin responds with ""you're welcome.""",1,22,71.44,17.46,1,99,11,9.09,95.45,63.64,63.64,13.64,9.09,9.09,0,0,0,0,4.55,18.18,9.09,0,18.18,13.64,0,4.55,4.55,18.18,0,0,4.55,0,0,4.55,13.64,0,13.64,0,0,9.09,0,0,4.55,0,13.64,13.64,0,9.09,9.09,0,0,0,0,0,27.27,13.64,0,9.09,0,0,4.55,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,36.36,9.09,0,0,0,0,27.27,0
Hello is there any way you guys could jump start a car my battery is dead don't know if you could do this but just thought I would ask thank you!,[ACRONYM],Where are you?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user asks if the admin can jump start their car as their battery is dead. The admin asks for the user's location and the color of their car. The user reveals they are in a parking lot and their car is a white [ORG] soul. The admin informs the user that an officer is on the way and advises them to stay by their car. The user thanks the admin. 
 User: Hello is there any way you guys could jump start a car my battery is dead don't know if you could do this but just thought I would ask thank you!
Dispatcher:",[],A user asks if the admin can jump start their car as their battery is dead. The admin asks for the user's location and the color of their car. The user reveals they are in a parking lot and their car is a white [ORG] soul. The admin informs the user that an officer is on the way and advises them to stay by their car. The user thanks the admin.,1,31,1,76.43,79.1,97.31,31,6.45,96.77,83.87,61.29,19.35,16.13,6.45,0,9.68,0,0,3.23,12.9,3.23,0,0,22.58,6.45,6.45,3.23,41.94,3.23,0,0,0,0,0,25.81,0,25.81,6.45,0,9.68,6.45,0,6.45,0,6.45,6.45,0,0,0,0,0,0,0,0,22.58,9.68,3.23,6.45,0,0,9.68,12.9,0,0,0,3.23,3.23,0,0,3.23,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,6.45,9.68,0,3.23,6.45,0,0,0,3.23,0,9.68,0,0,0,0,0,0,6.45,0,0,0,3.23,3.23,0,0
Can someone please come and let the [ORG] staff in the [ORG] ## clinic on [PERSON]. The door will not unlock for us.....Thank you.,Yes one of officers will be there in about ## minutes. Please make sure the door is unlocked when they get there so our officers can make it in to see the individual's location.,Is it going to be a hard key or a swipe key?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user requests for someone to come and let the staff of an organization into a clinic on a specific person. The door is not unlocking for them. The admin asks if it is a hard key or a swipe key. The user confirms it is a swipe key card and later informs that they were able to enter. The admin thanks them for letting them know and cancels any further assistance. 
 User: Can someone please come and let the [ORG] staff in the [ORG] ## clinic on [PERSON]. The door will not unlock for us.....Thank you.
Dispatcher:",[],A user requests for someone to come and let the staff of an organization into a clinic on a specific person. The door is not unlocking for them. The admin asks if it is a hard key or a swipe key. The user confirms it is a swipe key card and later informs that they were able to enter. The admin thanks them for letting them know and cancels any further assistance.,1,24,82.63,99,39.59,83,12,4.17,95.83,66.67,54.17,12.5,8.33,0,4.17,4.17,0,0,4.17,12.5,12.5,0,12.5,8.33,0,4.17,4.17,20.83,0,0,4.17,4.17,0,0,12.5,0,12.5,0,0,4.17,4.17,0,4.17,0,4.17,4.17,0,0,0,0,0,0,0,0,29.17,8.33,8.33,8.33,0,0,4.17,20.83,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,12.5,0,4.17,12.5,0,0,0,0,0,4.17,4.17,0,0,0,0,0,62.5,29.17,0,0,0,0,33.33,0
I don't know if you can help because neither of us go to[ORG]. I have a friend in [GPE] near [ORG]. His name is [PERSON]. He lives in [ORG] on [ORG] and I'm scared he's going to kill or hurt himself. I'm trying to talk him down but I don't think I'm helping and I didn't know what to do.,Do you know the specific apartment number?,Do you know the specific apartment your friend lives in?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help. 
 User: I don't know if you can help because neither of us go to[ORG]. I have a friend in [GPE] near [ORG]. His name is [PERSON]. He lives in [ORG] on [ORG] and I'm scared he's going to kill or hurt himself. I'm trying to talk him down but I don't think I'm helping and I didn't know what to do.
Dispatcher:",[],"A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help.",1,61,3.23,6.87,87.98,6.23,12.2,6.56,98.36,78.69,65.57,24.59,22.95,11.48,1.64,1.64,8.2,0,1.64,4.92,1.64,0,16.39,18.03,0,9.84,6.56,32.79,3.28,0,8.2,4.92,1.64,1.64,18.03,0,18.03,4.92,1.64,3.28,3.28,0,8.2,0,8.2,3.28,4.92,3.28,0,3.28,1.64,0,0,0,21.31,6.56,3.28,0,1.64,0,1.64,14.75,0,0,0,8.2,0,0,0,0,6.56,0,0,6.56,0,0,4.92,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,11.48,11.48,0,1.64,9.84,0,0,1.64,0,1.64,14.75,3.28,0,0,0,0,0,39.34,8.2,0,0,0,11.48,19.67,0
He’s responding again,Did he jump or is he still on the balcony?,Does [PERSON] take any type of medication?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help. 
 User: The address is ### w [ORG] st
Dispatcher: That’s all he gave me when I went to visit a few days ago 
 User: Is [PERSON] currently threatening to harm himself?
Dispatcher: Yes. He said he might jump off his balcony. And he says nothing can help him and that dying is the only way to end his suffering 
 User: I am entering a call for service to have [GPE] respond to his location.
Dispatcher: Are you still on the phone with him? 
 User: I[PERSON] messaging him over [PERSON]
Dispatcher: He hasn’t responded to my last message 
 User: How long has it been since he stopped responding?
Dispatcher: A few minutes 
 User: He’s responding again
Dispatcher:","[['The address is ### w [ORG] st', 'That’s all he gave me when I went to visit a few days ago'], ['Is [PERSON] currently threatening to harm himself?', 'Yes. He said he might jump off his balcony. And he says nothing can help him and that dying is the only way to end his suffering'], ['I am entering a call for service to have [GPE] respond to his location.', 'Are you still on the phone with him?'], ['I[PERSON] messaging him over [PERSON]', 'He hasn’t responded to my last message'], ['How long has it been since he stopped responding?', 'A few minutes']]","A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help.",1,3,1,99,1,,3,33.33,100,100,66.67,33.33,33.33,0,0,0,33.33,0,0,0,0,0,0,33.33,33.33,0,0,66.67,0,0,0,0,0,0,33.33,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,33.33,33.33,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0
On New Years he said he wanted to disappear and that he might hurt himself. And I went to visit him because I thought that would help,Can you tell us what type of mental illness [PERSON] has?,"Two units have marked on scene at the apartment building,","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help. 
 User: A few minutes
Dispatcher: He’s responding again 
 User: Does [PERSON] take any type of medication?
Dispatcher: I think he is on something. He’s a bi polar schizophrenic 
 User: Units are en route to his location.
Dispatcher: Thank you 
 User: You are welcome.
Dispatcher: Does [PERSON] have any roomates? 
 User: Yes but I think they’re out of town
Dispatcher: Has he made threats like this before? 
 User: On New Years he said he wanted to disappear and that he might hurt himself. And I went to visit him because I thought that would help
Dispatcher:","[['A few minutes', 'He’s responding again'], ['Does [PERSON] take any type of medication?', 'I think he is on something. He’s a bi polar schizophrenic'], ['Units are en route to his location.', 'Thank you'], ['You are welcome.', 'Does [PERSON] have any roomates?'], ['Yes but I think they’re out of town', 'Has he made threats like this before?']]","A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help.",1,27,3.37,92.24,1,77.5,13.5,14.81,100,88.89,62.96,33.33,25.93,7.41,0,0,18.52,0,7.41,7.41,0,0,11.11,7.41,0,11.11,0,25.93,3.7,3.7,3.7,3.7,0,0,18.52,0,18.52,3.7,3.7,7.41,3.7,0,0,0,11.11,7.41,3.7,3.7,0,3.7,0,0,0,0,29.63,11.11,3.7,0,0,0,3.7,18.52,0,0,0,18.52,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,3.7,11.11,0,3.7,3.7,0,0,3.7,7.41,11.11,0,3.7,0,0,0,0,0,3.7,3.7,0,0,0,0,0,0
