instruction,response,output,prompt,history,summary,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Will I remain [PERSON] if I contact Newark Police and do I have to call them? Or is you reporting it enough?,YES YOU WILL REMAIN [PERSON]. YOU DO NOT HAVE TO CALL US BUT WE APPRECIATE THE INFORMATION.,You can remain anonymous when speaking with them.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a suspicious man possibly armed outside of Roots Natural Kitchen on East Main Street in Newark. The admin asks for a description and how the user knows he is armed. The user describes the man's appearance and behavior, and mentions feeling unsafe and leaving the area. The admin asks for the man's race, but the user is unable to tell due to his clothing. The user reports the incident to [ORG] and asks if they will remain anonymous when contacting the Newark Police. The admin confirms they can remain anonymous and the user calls to report the incident. 
 User: is that person still there?
Dispatcher: I was standing nearby and noticed a shady figure while I was on the phone with my friend and when I looked back again he was holding something dark in his hand while facing Roots Natural Kitchen 
 User: This was about ## min ago
Dispatcher: I left immediately without trying to cause a scene because I felt unsafe 
 User: Not ###% sure if he was armed or not but it seemed very suspicious and I don’t want to take any risks
Dispatcher: was he black, white, hispanic or asian? 
 User: I couldn’t tell he was too covered up
Dispatcher: He had a black hat on and a black scarf or something covering his nose and mouth 
 User: I[ORG] very nervous and felt unsafe so I assumed the best thing to do was report it
Dispatcher: Thank you for your tip. We have passed this information along to [ORG]. Please contact them as soon as possible at ###-###-####. 
 User: Will I remain [PERSON] if I contact Newark Police and do I have to call them? Or is you reporting it enough?
Dispatcher:","[['is that person still there?', 'I was standing nearby and noticed a shady figure while I was on the phone with my friend and when I looked back again he was holding something dark in his hand while facing Roots Natural Kitchen'], ['This was about ## min ago', 'I left immediately without trying to cause a scene because I felt unsafe'], ['Not ###% sure if he was armed or not but it seemed very suspicious and I don’t want to take any risks', 'was he black, white, hispanic or asian?'], ['I couldn’t tell he was too covered up', 'He had a black hat on and a black scarf or something covering his nose and mouth'], ['I[ORG] very nervous and felt unsafe so I assumed the best thing to do was report it', 'Thank you for your tip. We have passed this information along to [ORG]. Please contact them as soon as possible at ###-###-####.']]","A user reports a suspicious man possibly armed outside of Roots Natural Kitchen on East Main Street in Newark. The admin asks for a description and how the user knows he is armed. The user describes the man's appearance and behavior, and mentions feeling unsafe and leaving the area. The admin asks for the man's race, but the user is unable to tell due to his clothing. The user reports the incident to [ORG] and asks if they will remain anonymous when contacting the Newark Police. The admin confirms they can remain anonymous and the user calls to report the incident.",1,22,1,17.46,95.15,,11,9.09,90.91,68.18,68.18,27.27,22.73,13.64,0,4.55,0,4.55,4.55,4.55,0,0,4.55,18.18,0,13.64,0,22.73,4.55,4.55,4.55,0,0,4.55,9.09,0,9.09,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,18.18,4.55,0,0,0,0,4.55,13.64,0,0,0,0,0,0,0,0,4.55,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,4.55,0,0,0,0,4.55,4.55,0,0,4.55,0,0,0,0,0,4.55,13.64,0,0,0,0,0,18.18,0,0,9.09,0,0,9.09,0
I just downloaded this app and find it very helpful. [ORG] should advertise this app more to students since it’s not well known,TRUE. WE DO ADVERTISE IT AS MUCH AS POSSIBLE BUT IT IS NOT OFFICIALLY A [ORG] APP.,Are you a freshman?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports seeing a suspicious man on a red bike with a black backpack near an organization's base. The man was trying to park his bike near the doors and was waiting. A truck with the acronym [ACRONYM] drove by and the man quickly got back on his bike and left. The admin asks for a further description of the man's race, clothing, and age, as well as how long ago this occurred. The user describes the man as a white male in his early 20s with white hair and a bit bald. The incident happened approximately 10 minutes ago. The admin thanks the user and says they will advise officers. The user mentions downloading the app and suggests that the organization should advertise it more to students. The admin asks if the user is a freshman, to which the user responds that they are a senior and had never heard of the app until today. The admin thanks the user for the information and expresses gratitude for finding the app useful. 
 User: Suspicious man on red bike with black backpack. Saw him around [ORG] base trying to park his bike near doors And waiting. [ACRONYM] truck drove by and he got back on his bike and left.
Dispatcher: Can you give me a further description as to race and what he was wearing as well as possible age? 
 User: How long ago was this?
Dispatcher: White male early ##s a bit bald white hair 
 User: ## minutes abo
Dispatcher: Thank you, I will advise officers. 
 User: I just downloaded this app and find it very helpful. [ORG] should advertise this app more to students since it’s not well known
Dispatcher:","[['Suspicious man on red bike with black backpack. Saw him around [ORG] base trying to park his bike near doors And waiting. [ACRONYM] truck drove by and he got back on his bike and left.', 'Can you give me a further description as to race and what he was wearing as well as possible age?'], ['How long ago was this?', 'White male early ##s a bit bald white hair'], ['## minutes abo', 'Thank you, I will advise officers.']]","A user reports seeing a suspicious man on a red bike with a black backpack near an organization's base. The man was trying to park his bike near the doors and was waiting. A truck with the acronym [ACRONYM] drove by and the man quickly got back on his bike and left. The admin asks for a further description of the man's race, clothing, and age, as well as how long ago this occurred. The user describes the man as a white male in his early 20s with white hair and a bit bald. The incident happened approximately 10 minutes ago. The admin thanks the user and says they will advise officers. The user mentions downloading the app and suggests that the organization should advertise it more to students. The admin asks if the user is a freshman, to which the user responds that they are a senior and had never heard of the app until today. The admin thanks the user for the information and expresses gratitude for finding the app useful.",1,23,1,5.93,17.84,84.9,11.5,17.39,95.65,73.91,60.87,21.74,4.35,4.35,0,0,0,0,17.39,13.04,0,0,8.7,8.7,13.04,8.7,4.35,17.39,8.7,4.35,8.7,0,0,8.7,21.74,0,21.74,4.35,4.35,4.35,0,0,4.35,0,4.35,4.35,0,0,0,0,0,0,0,0,8.7,4.35,4.35,0,0,0,0,4.35,0,0,0,0,13.04,0,0,13.04,8.7,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,0,0,0,4.35,4.35,4.35,0,0,0,0,0,0,17.39,4.35,0,0,0,4.35,8.7,0
There is a man in front of [ORG] that pulled up a chair and is talking to himself and yelling,Please go to [ORG] phone number [ORG] as a result of a safety concern,Hello can you provide a description of the person?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that there is a man in front of an organization who is talking to himself and yelling. The admin asks for a description of the person, and the user describes him as a male with dreads, wearing shorts and a black shirt, and Nikes. The admin informs the user that officers have been made aware of the individual and thanks them for using Livesafe. The admin asks if the user needs to meet with officers, and the user responds that they already have. The admin thanks the user and ends the conversation. 
 User: There is a man in front of [ORG] that pulled up a chair and is talking to himself and yelling
Dispatcher:",[],"A user reports to an admin that there is a man in front of an organization who is talking to himself and yelling. The admin asks for a description of the person, and the user describes him as a male with dreads, wearing shorts and a black shirt, and Nikes. The admin informs the user that officers have been made aware of the individual and thanks them for using Livesafe. The admin asks if the user needs to meet with officers, and the user responds that they already have. The admin thanks the user and ends the conversation.",1,20,80.96,89.5,63.35,,20,15,95,80,65,10,5,0,0,0,5,0,5,15,10,0,20,10,5,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,10,0,0,0,10,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,20,0,5,0,0,5,10,0,0,0,0,0,0,10,0,0,0,0,0,10,0
Alright thank you so much.,Anytime. Have a good night.,You are very welcome,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports being approached by a woman near a library and repeatedly asked to join a bible study group. The user has heard rumors that this group is involved in sex trafficking. An admin confirms that the group does mention ""God the Mother"" and ""Our Heavenly Mother"" but has been investigated by multiple police agencies and found to be a legitimate religious organization with no ties to sex trafficking. The user thanks the admin for clarifying. 
 User: I was followed and approached around the back side of [GPE] library near [ORG] by a short, round black woman with short curly hair and asked repeatedly to join a bible study group even after I continuously said no. I have had other girls tell me they've gotten into similar situations with a woman like this or other women who travel in the same group as this woman.
Dispatcher: This is a legit religious group and they are harmless. The females are rather aggressive with their approach but they are safe and part of a real organization. I'm sorry if this has been inconvenient for you 
 User: I’ve been hearing that they say “God the Mother” and “Our Heavenly Mother” and that it is a sex trafficking scheme? I wanted to make sure so there would no more misinformation spread.
Dispatcher: Yes, this is the same group; they speak of God the Mother and Our Heavenly Mother. They have been investigated by multiple police agencies (including ours) and have been found to be a legit organization. They are not and have no ties to any sex trafficking 
 User: Alright thank you so much.
Dispatcher:","[[""I was followed and approached around the back side of [GPE] library near [ORG] by a short, round black woman with short curly hair and asked repeatedly to join a bible study group even after I continuously said no. I have had other girls tell me they've gotten into similar situations with a woman like this or other women who travel in the same group as this woman."", ""This is a legit religious group and they are harmless. The females are rather aggressive with their approach but they are safe and part of a real organization. I'm sorry if this has been inconvenient for you""], ['I’ve been hearing that they say “God the Mother” and “Our Heavenly Mother” and that it is a sex trafficking scheme? I wanted to make sure so there would no more misinformation spread.', 'Yes, this is the same group; they speak of God the Mother and Our Heavenly Mother. They have been investigated by multiple police agencies (including ours) and have been found to be a legit organization. They are not and have no ties to any sex trafficking']]","A user reports being approached by a woman near a library and repeatedly asked to join a bible study group. The user has heard rumors that this group is involved in sex trafficking. An admin confirms that the group does mention ""God the Mother"" and ""Our Heavenly Mother"" but has been investigated by multiple police agencies and found to be a legitimate religious organization with no ties to sex trafficking. The user thanks the admin for clarifying.",1,5,1,99,,99,5,20,100,100,80,20,20,0,0,20,0,0,0,20,0,0,0,0,40,20,0,20,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,40,20,20,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,20,20,0,0,0,0,0,0
"A black [ORG] rouge with temporary [GPE] license plates pulled over and approached me and a group of several girls, smiling trying to talk to us on e [GPE]. We immediately walked away as we thought it was the reported [ORG] and he drove away but I thought I should report it.","YEAH [PERSON] DOMESTIC SEXUAL ASSAULT BASICS, WE APPRECIATE YOU REPORTING.",Approximately when did this occur?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a suspicious encounter with a black organization vehicle with temporary license plates and an older, balding, olive-skinned driver who approached them and a group of girls on a street corner in a privacy token location. The user and the group immediately walked away, thinking it was the reported organization, and the driver drove away. The user reports the incident to an admin, who asks for more details such as the time and direction of the car. The user provides the information and the admin thanks them for the tip and says it will be passed on to the organization in charge of the jurisdiction. The user is encouraged to contact the organization's department if they have any further information. 
 User: A black [ORG] rouge with temporary [GPE] license plates pulled over and approached me and a group of several girls, smiling trying to talk to us on e [GPE]. We immediately walked away as we thought it was the reported [ORG] and he drove away but I thought I should report it.
Dispatcher:",[],"A user reports a suspicious encounter with a black organization vehicle with temporary license plates and an older, balding, olive-skinned driver who approached them and a group of girls on a street corner in a privacy token location. The user and the group immediately walked away, thinking it was the reported organization, and the driver drove away. The user reports the incident to an admin, who asks for more details such as the time and direction of the car. The user provides the information and the admin thanks them for the tip and says it will be passed on to the organization in charge of the jurisdiction. The user is encouraged to contact the organization's department if they have any further information.",1,52,70.09,88.42,81.58,49.66,26,17.31,88.46,75,55.77,17.31,13.46,5.77,5.77,0,1.92,0,3.85,7.69,5.77,0,17.31,3.85,1.92,9.62,0,19.23,3.85,1.92,7.69,5.77,1.92,0,9.62,0,9.62,3.85,0,3.85,0,0,1.92,0,1.92,1.92,0,1.92,1.92,0,0,0,0,0,15.38,3.85,0,0,0,0,1.92,11.54,0,0,1.92,1.92,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,15.38,0,7.69,5.77,1.92,0,0,3.85,9.62,0,0,0,0,0,0,0,21.15,3.85,1.92,0,0,0,15.38,0
"he’s about #’ #” with dark brown buzz cut and we believe he isn’t a student because he’s using the girls side gender neutral to shower and he doesn’t walk around with a backpack and we don’t see him around campus, we only see him in our hallway or going into the room",Can you tell us which building in your hall he lives in? And specific actions he takes that make people feel uncomfortable?,Thank you for the update. Is there anything specific he is doing to make people feel uncomfortable?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that there is a man living in a dormitory for the past few weeks who is not a student and is making people feel uncomfortable. The admin asks for a name or description and the reason for believing he is not a student. The user describes the man as being about 6'2"" with a dark brown buzz cut and explains that he is using the gender-neutral bathroom and does not carry a backpack like other students. The admin asks for specific actions that make people uncomfortable, and the user mentions that he walks shirtless in the hallways and uses the gender-neutral bathroom to shower. The admin thanks the user for the information and assures them that it will be looked into. The user thanks the admin and the conversation ends. 
 User: there's a guy that we think has been living in ryan ### for the past #-# weeks that doesn't seem to be a student of the college. he is making some people feel uncomfortable
Dispatcher: Thank you for the tip! Who is this person? do you have a name or description? And could you tell us why you believe he is not a student here? 
 User: he’s about #’ #” with dark brown buzz cut and we believe he isn’t a student because he’s using the girls side gender neutral to shower and he doesn’t walk around with a backpack and we don’t see him around campus, we only see him in our hallway or going into the room
Dispatcher:","[[""there's a guy that we think has been living in ryan ### for the past #-# weeks that doesn't seem to be a student of the college. he is making some people feel uncomfortable"", 'Thank you for the tip! Who is this person? do you have a name or description? And could you tell us why you believe he is not a student here?']]","A user reports to an admin that there is a man living in a dormitory for the past few weeks who is not a student and is making people feel uncomfortable. The admin asks for a name or description and the reason for believing he is not a student. The user describes the man as being about 6'2"" with a dark brown buzz cut and explains that he is using the gender-neutral bathroom and does not carry a backpack like other students. The admin asks for specific actions that make people uncomfortable, and the user mentions that he walks shirtless in the hallways and uses the gender-neutral bathroom to shower. The admin thanks the user for the information and assures them that it will be looked into. The user thanks the admin and the conversation ends.",1,51,16.49,99,6.58,,51,11.76,90.2,76.47,60.78,19.61,19.61,0,7.84,0,11.76,0,0,9.8,7.84,0,15.69,9.8,7.84,9.8,5.88,21.57,5.88,0,7.84,7.84,0,0,9.8,0,9.8,1.96,3.92,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0,0,23.53,0,0,1.96,11.76,0,0,0,0,7.84,0,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,23.53,0,3.92,11.76,7.84,0,0,0,0,9.8,1.96,0,0,0,0,0,19.61,0,1.96,0,0,11.76,5.88,0
There is a homeless community member who is smoking an unknown substance and acting strange right outside the door of the student center.,WOUDDGE[ACRONYM] POLICE A [ACRONYM] CITY STUDENT CENTER [ACRONYM] OUTSIDE THE STUDENT CENTER DOOR.,"Thank you for contacting the [ACRONYM] Police, is that outside of [ORG] or [ORG]?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a homeless person smoking an unknown substance and acting strange outside the student center. The admin, from the [ACRONYM] Police, asks for clarification on the location, which is outside the post office and the student center entrance. The user provides a description of the man and requests an update on the situation. The admin asks if the user wants to be contacted by the officer and the user agrees. The user provides their office line and location for the officer to contact them. The admin confirms the information and will inform the officer. 
 User: There is a homeless community member who is smoking an unknown substance and acting strange right outside the door of the student center.
Dispatcher:",[],"A user reports a homeless person smoking an unknown substance and acting strange outside the student center. The admin, from the [ACRONYM] Police, asks for clarification on the location, which is outside the post office and the student center entrance. The user provides a description of the man and requests an update on the situation. The admin asks if the user wants to be contacted by the officer and the user agrees. The user provides their office line and location for the officer to contact them. The admin confirms the information and will inform the officer.",1,23,94.33,99,44.75,,23,34.78,86.96,60.87,47.83,4.35,4.35,0,0,0,0,0,0,17.39,17.39,0,8.7,8.7,4.35,4.35,0,8.7,17.39,0,13.04,8.7,0,4.35,4.35,0,4.35,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,0,0,0,0,0,0,17.39,0,0,0,0,0,0,0,0,4.35,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,4.35,4.35,17.39,0,0,17.39,0,0,0,0,0,8.7,0,0,0,0,0,0,4.35,4.35,0,0,0,0,0,0
Just a bag from what I could see,Okay thank you for the information.,Do you want officers to contact you reference the suspicious bag?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user contacts the police department about a bag in front of a facility on a specific location. The admin asks how long the bag has been there and if the user noticed any odors or suspicious noises. The user says they just saw the bag and is leaving to catch a bus. The admin informs the user that an officer is on the way to check it out and asks if they want to be contacted about the bag. The user declines and mentions it is a strange place for the bag to be. The admin thanks the user for reporting it and provides contact information for future needs. The user responds with ""thx."" 
 User: Bag in front of [FAC] on [LOC]
Dispatcher: Thank you for contacting the [ACRONYM] police department, do you know how long the bag has been there? 
 User: No idea just came out and saw it sitting there no one around
Dispatcher: I[ORG] off to catch a bus 
 User: An officer is enroute to check it out. Did you notice any odors or residue near the bag or on the sidewalk, or suspicious noises coming from the bag?
Dispatcher: No 
 User: Just a bag from what I could see
Dispatcher:","[['Bag in front of [FAC] on [LOC]', 'Thank you for contacting the [ACRONYM] police department, do you know how long the bag has been there?'], ['No idea just came out and saw it sitting there no one around', 'I[ORG] off to catch a bus'], ['An officer is enroute to check it out. Did you notice any odors or residue near the bag or on the sidewalk, or suspicious noises coming from the bag?', 'No']]","A user contacts the police department about a bag in front of a facility on a specific location. The admin asks how long the bag has been there and if the user noticed any odors or suspicious noises. The user says they just saw the bag and is leaving to catch a bus. The admin informs the user that an officer is on the way to check it out and asks if they want to be contacted about the bag. The user declines and mentions it is a strange place for the bag to be. The admin thanks the user for reporting it and provides contact information for future needs. The user responds with ""thx.""",1,8,26.1,1.71,1,,8,0,87.5,87.5,75,25,12.5,12.5,0,0,0,0,12.5,12.5,12.5,0,12.5,12.5,12.5,0,0,25,0,0,0,0,0,0,12.5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I saw a man walking around #nd floor and then he went up to #th floor in thr pcc parking lot which seemed suspicious. Please send someone over. He was a skinny older [NORP] male with a hat on.,HAT [ORG],Thank you have someone on there way. Can you provide information such as the color of his clothes and hat?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports seeing a suspicious man walking around the 2nd and 3rd floors of a parking lot. The man was a skinny older male wearing a hat, possibly red in color. The admin thanks the user and asks for more information on the man's clothing. The user recalls the hat being worn out and red. The admin asks how long after seeing the man the user reported to security, and the user responds about 10 minutes. The admin thanks the user and confirms that everything checks out. The user expresses concern about recent break-ins and the admin thanks them for being observant and reporting anything out of the ordinary. The user thanks the admin for their time. 
 User: I saw a man walking around #nd floor and then he went up to #th floor in thr pcc parking lot which seemed suspicious. Please send someone over. He was a skinny older [NORP] male with a hat on.
Dispatcher:",[],"A user reports seeing a suspicious man walking around the 2nd and 3rd floors of a parking lot. The man was a skinny older male wearing a hat, possibly red in color. The admin thanks the user and asks for more information on the man's clothing. The user recalls the hat being worn out and red. The admin asks how long after seeing the man the user reported to security, and the user responds about 10 minutes. The admin thanks the user and confirms that everything checks out. The user expresses concern about recent break-ins and the admin thanks them for being observant and reporting anything out of the ordinary. The user thanks the admin for their time.",1,39,92.63,81.78,98.89,2.7,13,10.26,82.05,69.23,48.72,12.82,7.69,2.56,0,0,5.13,0,5.13,10.26,7.69,0,17.95,2.56,2.56,5.13,0,15.38,7.69,2.56,0,0,0,0,10.26,0,10.26,5.13,0,0,5.13,0,2.56,0,2.56,0,2.56,2.56,0,2.56,0,0,0,0,15.38,2.56,2.56,2.56,0,0,0,12.82,0,0,0,10.26,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,5.13,15.38,2.56,0,0,5.13,10.26,0,0,0,0,0,0,0,17.95,7.69,0,0,0,0,10.26,0
"By the way, I heard similar popping sounds around ##:## pm on another night this week but didnt report until today, also coming from figuroa st. Direction.",Thank you for the information; we will ask officers to inquire whether anything unusual was seen or heard while making routine checks.,"Thank you for letting us know, officers will check to see if there is anything out of the ordinary. Please feel free to let us know if you hear anything like this in the future as well.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports hearing popping sounds and a car speeding away at the corner of Figueroa St. and an unknown street. The admin from an organization thanks the user for contacting them and says they will send officers to check the area. The admin asks if the user wants to meet with the officers, but the user declines. The user also mentions hearing similar sounds on another night and the admin thanks them for letting them know. The admin encourages the user to report any similar incidents in the future. The user thanks the admin and they both say goodnight. 
 User: Heard # popping sounds coming from the corner of figuroa st. and [ACRONYM] ##th st right now. Heard a car speeding away after with the sound of the tires. Not sure what it was.
Dispatcher: Thank you for contacting [ORG] we will have officers respond to check the area. 
 User: Did you want to meet with officers?
Dispatcher: No thanks 
 User: By the way, I heard similar popping sounds around ##:## pm on another night this week but didnt report until today, also coming from figuroa st. Direction.
Dispatcher:","[['Heard # popping sounds coming from the corner of figuroa st. and [ACRONYM] ##th st right now. Heard a car speeding away after with the sound of the tires. Not sure what it was.', 'Thank you for contacting [ORG] we will have officers respond to check the area.'], ['Did you want to meet with officers?', 'No thanks']]","A user reports hearing popping sounds and a car speeding away at the corner of Figueroa St. and an unknown street. The admin from an organization thanks the user for contacting them and says they will send officers to check the area. The admin asks if the user wants to meet with the officers, but the user declines. The user also mentions hearing similar sounds on another night and the admin thanks them for letting them know. The admin encourages the user to report any similar incidents in the future. The user thanks the admin and they both say goodnight.",1,26,53.56,1,99,,13,19.23,84.62,61.54,46.15,11.54,3.85,3.85,0,0,0,0,7.69,11.54,3.85,0,19.23,3.85,7.69,11.54,3.85,11.54,3.85,7.69,0,0,0,0,15.38,0,15.38,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,23.08,0,3.85,15.38,0,7.69,0,11.54,7.69,0,0,0,0,0,0,0,34.62,7.69,7.69,0,0,0,19.23,0
