instruction,response,output,prompt,history,summary,his_len,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"Amber Cranford posted to her Snapchat story Saturday night, November ##th and said “I hate being suicidal”.",Thank you for contacting [ORG]. Where is Amber Cranford located in [ACRONYM]?,"Okay thanks for the information, we will be checking on it","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user named Amber Cranford posted on her Snapchat story on Saturday night, November ##th, expressing her struggles with suicidal thoughts. An admin thanked the user for the information and asked for Amber's room number and building. The user provided the information, stating that Amber is in [ACRONYM] in [GPE]. The admin asked if Amber is currently in her room, to which the user confirmed. However, the admin later stated that Amber is not in her room and asked for a phone number. The user provided a phone number for Amber. 
 User: Amber Cranford posted to her Snapchat story Saturday night, November ##th and said “I hate being suicidal”.
Dispatcher:",[],"A user named Amber Cranford posted on her Snapchat story on Saturday night, November ##th, expressing her struggles with suicidal thoughts. An admin thanked the user for the information and asked for Amber's room number and building. The user provided the information, stating that Amber is in [ACRONYM] in [GPE]. The admin asked if Amber is currently in her room, to which the user confirmed. However, the admin later stated that Amber is not in her room and asked for a phone number. The user provided a phone number for Amber.",9,1,11,71.44,99,5.07,99,11,18.18,90.91,81.82,63.64,18.18,9.09,0,9.09,0,0,0,9.09,9.09,9.09,0,18.18,18.18,0,0,0,27.27,9.09,0,9.09,9.09,0,0,9.09,0,9.09,9.09,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,18.18,9.09,9.09,9.09,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,9.09,0,0,9.09,0,9.09,0,0,0,0,0
Is there a counselor or something I could talk to? I'm really overwhelmed right now and I don't know where to go.,This is [ORG] we are currently closed but there is a officer on duty at [GPE]. He can assist you if you want to talk to him. Did you want to speak to him?,"Hello , this is [GPE]","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
The user is feeling overwhelmed and asks if there is a counselor they can talk to. The admin, located at [GPE], asks if the user is on campus and if they live in a dorm. The user confirms they live in a dorm but are currently away due to a breakdown. The admin offers for the user to come to their office or for someone to come to them. The user agrees to come to the office and asks for directions. The admin gives directions and asks for the user's location and what they are wearing. The user is near [PERSON] and wearing a purple sweatshirt. The admin sends [PERSON] to meet the user and the user thanks them. 
 User: Is there a counselor or something I could talk to? I'm really overwhelmed right now and I don't know where to go.
Dispatcher:",[],"The user is feeling overwhelmed and asks if there is a counselor they can talk to. The admin, located at [GPE], asks if the user is on campus and if they live in a dorm. The user confirms they live in a dorm but are currently away due to a breakdown. The admin offers for the user to come to their office or for someone to come to them. The user agrees to come to the office and asks for directions. The admin gives directions and asks for the user's location and what they are wearing. The user is near [PERSON] and wearing a purple sweatshirt. The admin sends [PERSON] to meet the user and the user thanks them.",23,1,4,1,,,99,4,0,75,50,50,25,0,0,0,0,0,0,25,25,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,25,25,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,75,0,25,0,0,0,50,0
Can someone find me? I[ORG] a little lost,ok... we will send someone to meet you... are you at the side door to the building... or the side where the police car is parked,okay ... what are you near .. I will send someone to meet you ...also What color shirt are you wearing ??,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
The user is feeling overwhelmed and asks if there is a counselor they can talk to. The admin, located at [GPE], asks if the user is on campus and if they live in a dorm. The user confirms they live in a dorm but are currently away due to a breakdown. The admin offers for the user to come to their office or for someone to come to them. The user agrees to come to the office and asks for directions. The admin gives directions and asks for the user's location and what they are wearing. The user is near [PERSON] and wearing a purple sweatshirt. The admin sends [PERSON] to meet the user and the user thanks them. 
 User: I do but I[ORG] not in my dorm I had a breakdown and am trying to be away from my suitemates
Dispatcher: would you like to come to our office, since you're out and we can have someone chat with you... and see what options are avail 
 User: or I can have someone come to you
Dispatcher: Yes, where do I go? 
 User: we are located on the ground floor of the [GPE] hall.. the side where the parking garage is
Dispatcher: Im right outside [PERSON], I[ORG] not wearing shoes though 
 User: that is okay... come on in...
Dispatcher: are you outside... Did you need someone to meet you? 
 User: Which entrance is it?
Dispatcher: The double door.. you should see a police car parked right outside 
 User: Can someone find me? I[ORG] a little lost
Dispatcher:","[['I do but I[ORG] not in my dorm I had a breakdown and am trying to be away from my suitemates', ""would you like to come to our office , since you're out and we can have someone chat with you... and see what options are avail""], ['or I can have someone come to you', 'Yes, where do I go?'], ['we are located on the ground floor of the [GPE] hall .. the side where the parking garage is', 'Im right outside [PERSON], I[ORG] not wearing shoes though'], ['that is okay... come on in...', 'are you outside... Did you need someone to meet you?'], ['Which entrance is it?', 'The double door.. you should see a police car parked right outside']]","The user is feeling overwhelmed and asks if there is a counselor they can talk to. The admin, located at [GPE], asks if the user is on campus and if they live in a dorm. The user confirms they live in a dorm but are currently away due to a breakdown. The admin offers for the user to come to their office or for someone to come to them. The user agrees to come to the office and asks for directions. The admin gives directions and asks for the user's location and what they are wearing. The user is near [PERSON] and wearing a purple sweatshirt. The admin sends [PERSON] to meet the user and the user thanks them.",23,1,19,1,99,8.42,92.27,6.33,10.53,94.74,89.47,68.42,36.84,21.05,5.26,0,15.79,0,0,15.79,0,0,0,10.53,15.79,5.26,5.26,0,31.58,10.53,0,0,0,0,0,5.26,0,5.26,0,0,0,5.26,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,26.32,5.26,0,0,0,0,0,21.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,10.53,0,0,5.26,5.26,0,0,0,0,10.53,5.26,5.26,0,5.26,0,0,52.63,42.11,0,10.53,0,0,0,0
There was a girl that was sitting outside of tooker near the pod and she looked a little off. Could've been on something? Someone came into the pod to report it and I over heard it. I just wanted someone to check it out to make sure she got help if needed,YELMAPD,"Thank you for contacting the [ACRONYM] police, how long ago did this happen?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that they saw a girl who appeared to be under the influence of something outside of Tooker near the pod. The user overheard someone reporting it and wanted to make sure the girl received help. The admin asks for a description and the user provides that the girl was white, blonde, and wearing jeans and a jacket. The admin sends an officer to check on the girl and offers for the user to speak to the officer if needed. The user provides their phone number and explains that the girl looked pale and was sitting with her arm on the table. The admin thanks the user for reporting and offers assistance through the Livesafe app or by phone. The user thanks the admin and the conversation ends. 
 User: There was a girl that was sitting outside of tooker near the pod and she looked a little off. Could've been on something? Someone came into the pod to report it and I over heard it. I just wanted someone to check it out to make sure she got help if needed
Dispatcher:",[],"A user reports to an admin that they saw a girl who appeared to be under the influence of something outside of Tooker near the pod. The user overheard someone reporting it and wanted to make sure the girl received help. The admin asks for a description and the user provides that the girl was white, blonde, and wearing jeans and a jacket. The admin sends an officer to check on the girl and offers for the user to speak to the officer if needed. The user provides their phone number and explains that the girl looked pale and was sitting with her arm on the table. The admin thanks the user for reporting and offers assistance through the Livesafe app or by phone. The user thanks the admin and the conversation ends.",22,1,13,31.07,98.04,81.58,99,13,15.38,84.62,76.92,53.85,15.38,7.69,0,0,7.69,0,0,7.69,15.38,7.69,0,7.69,7.69,15.38,0,0,23.08,7.69,7.69,7.69,0,0,7.69,7.69,0,7.69,7.69,7.69,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,15.38,7.69,7.69,7.69,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,7.69,0,0,0,7.69,15.38,0,0,0,0,0,0,0,30.77,0,7.69,7.69,0,0,15.38,0
Yes,"ok, thank you",was she doing anything specific to make you worried for her or suspect she may be on something?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that they saw a girl who appeared to be under the influence of something outside of Tooker near the pod. The user overheard someone reporting it and wanted to make sure the girl received help. The admin asks for a description and the user provides that the girl was white, blonde, and wearing jeans and a jacket. The admin sends an officer to check on the girl and offers for the user to speak to the officer if needed. The user provides their phone number and explains that the girl looked pale and was sitting with her arm on the table. The admin thanks the user for reporting and offers assistance through the Livesafe app or by phone. The user thanks the admin and the conversation ends. 
 User: She was white a female probably ## or ##
Dispatcher: Blonde I[PERSON] pretty sure 
 User: could you tell what color shirt and pants she had on
Dispatcher:? 
 User: I think they were jeans and she had on a jacket of some sort I don’t know the colors of either tho
Dispatcher: did she have any bags / boxes/ bikes / other items with her? 
 User: No there was just her sitting at the very last table closet to the pod
Dispatcher: I have an officer enroute to check on her, do you want to speak to the officer that responds? 
 User: I can if needed but I don’t know anymore information
Dispatcher: Thats ok, Ill advise them that you can be contacted only if they need to. is you phone number ###-###-####? 
 User: Yes
Dispatcher:","[['She was white a female probably ## or ##', 'Blonde I[PERSON] pretty sure'], ['could you tell what color shirt and pants she had on', '?'], ['I think they were jeans and she had on a jacket of some sort I don’t know the colors of either tho', 'did she have any bags / boxes/ bikes / other items with her?'], ['No there was just her sitting at the very last table closet to the pod', 'I have an officer enroute to check on her, do you want to speak to the officer that responds?'], ['I can if needed but I don’t know anymore information', 'Thats ok, Ill advise them that you can be contacted only if they need to. is you phone number ###-###-####?']]","A user reports to an admin that they saw a girl who appeared to be under the influence of something outside of Tooker near the pod. The user overheard someone reporting it and wanted to make sure the girl received help. The admin asks for a description and the user provides that the girl was white, blonde, and wearing jeans and a jacket. The admin sends an officer to check on the girl and offers for the user to speak to the officer if needed. The user provides their phone number and explains that the girl looked pale and was sitting with her arm on the table. The admin thanks the user for reporting and offers assistance through the Livesafe app or by phone. The user thanks the admin and the conversation ends.",22,1,18,1.78,99,1,1,18,27.78,100,94.44,77.78,33.33,22.22,0,0,5.56,16.67,0,11.11,5.56,0,0,16.67,22.22,0,5.56,0,27.78,11.11,0,0,0,0,0,38.89,0,38.89,5.56,5.56,0,22.22,0,5.56,0,5.56,0,5.56,5.56,0,5.56,5.56,0,0,0,22.22,0,0,0,0,0,0,22.22,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,5.56,0,5.56,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0
"[PERSON] is having some harmful thoughts and could use assistance. I am worried about them.","Okay, we#ll send an officer over to check on them. Where at [PERSON] at the student housing facility?",Where is [PERSON] located?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user expresses concern for someone who is having harmful thoughts and requests assistance. The admin asks for the person's location, and the user provides a general location at a housing facility. The admin thanks the user and mentions calling a specific organization for help. The user expresses gratitude. 
 User: [PERSON] is having some harmful thoughts and could use assistance. I am worried about them.
Dispatcher:",[],"A user expresses concern for someone who is having harmful thoughts and requests assistance. The admin asks for the person's location, and the user provides a general location at a housing facility. The admin thanks the user and mentions calling a specific organization for help. The user expresses gratitude.",5,1,4,1,99,99,,4,25,100,50,50,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,25,0,0,0,0,0,0,75,0,0,25,0,0,50,0
His name is [PERSON]. His room number ###.,ok,ok,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that they saw someone with cuts on their arm, possibly self-harming, at an organization. The admin asks for the person's room number, but the user only knows their first name and that they live on a certain floor. The admin thanks the user and says they will look into it. The user then provides the person's full name and room number. The admin acknowledges this information. 
 User: He was seen with several cuts up his arm like ##. I think he is harming himself. He lives in [ORG].
Dispatcher: what room is he in? 
 User: I don’t know his room number. I think he lives on the #th floor.
Dispatcher: do you have a room number 
 User: do have a name
Dispatcher: I don’t have a room number. I only know his first name Is [ORG]. 
 User: ok, thanks
Dispatcher: No problem. Glad to help! 
 User: i will look him up
Dispatcher: Ok 
 User: His name is [PERSON]. His room number ###.
Dispatcher:","[['He was seen with several cuts up his arm like ##. I think he is harming himself. He lives in [ORG].', 'what room is he in?'], ['I don’t know his room number. I think he lives on the #th floor.', 'do you have a room number'], ['do have a name', 'I don’t have a room number. I only know his first name Is [ORG].'], ['ok, thanks', 'No problem. Glad to help!'], ['i will look him up', 'Ok']]","A user reports to an admin that they saw someone with cuts on their arm, possibly self-harming, at an organization. The admin asks for the person's room number, but the user only knows their first name and that they live on a certain floor. The admin thanks the user and says they will look into it. The user then provides the person's full name and room number. The admin acknowledges this information.",12,1,1,,,,,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0
"There is a worker that looks to be asleep in a running closed cart in lot ##. I'm not sure if he is asleep or passed out for health reasons, but someone may wanna do a welfare check.","Thank you for notifying us, where is the victim located specific to a cart? Is it a electric or a gas cart?",i will send someone to check - is it one of the little electric carts or the bigger green mules?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports to an admin that there is a worker who appears to be asleep or passed out in a running green cart in a specific lot. The admin assures the user that help is on the way and asks for clarification on the type of cart. The user confirms that it is a gas-powered cart and expresses concern for the worker's well-being. The admin thanks the user for their concern and informs them that an officer had already checked on the worker earlier but will send someone again. The user suggests calling facilities management and the admin agrees to send an officer back to check on the worker. 
 User: There is a worker that looks to be asleep in a running closed cart in lot ##. I'm not sure if he is asleep or passed out for health reasons, but someone may wanna do a welfare check.
Dispatcher:",[],A user reports to an admin that there is a worker who appears to be asleep or passed out in a running green cart in a specific lot. The admin assures the user that help is on the way and asks for clarification on the type of cart. The user confirms that it is a gas-powered cart and expresses concern for the worker's well-being. The admin thanks the user for their concern and informs them that an officer had already checked on the worker earlier but will send someone again. The user suggests calling facilities management and the admin agrees to send an officer back to check on the worker.,8,1,19,67.62,14.81,8.42,,19,10.53,89.47,78.95,57.89,15.79,5.26,5.26,0,0,0,0,10.53,15.79,10.53,5.26,10.53,10.53,0,5.26,0,15.79,15.79,15.79,0,0,0,0,10.53,0,10.53,0,0,0,10.53,0,5.26,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,5.26,0,0,5.26,0,0,0,0,5.26,5.26,0,0,0,0,0,10.53,0,0,5.26,0,0,5.26,0
"This morning while walking my dog, I encountered a man who appeared to be in an altered state of mind. He did not approach us but was yelling at all passerby's. He was black, wearing a blue baseball cap, and was not wearing a shirt. We last saw him on ##th street and Cary st around #am.","Thank you for using the LiveSafe app, we will have an officer call you. Would you like to meet with the officer or can he locate you?",Thank you for using Livesafe! Can you provide any other noticeable descriptions of this person and what direction he was last seen headed in?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports encountering a man in an altered state of mind while walking their dog. The man was yelling at passersby and was described as black, wearing a blue baseball cap, and not wearing a shirt. The user last saw him on a specific street and time. The admin thanks the user for using the safety app and asks for more details about the man's appearance and direction. The user provides more information and the admin informs them that the police have been notified. The user thanks the admin. 
 User: This morning while walking my dog, I encountered a man who appeared to be in an altered state of mind. He did not approach us but was yelling at all passerby's. He was black, wearing a blue baseball cap, and was not wearing a shirt. We last saw him on ##th street and Cary st around #am.
Dispatcher:",[],"A user reports encountering a man in an altered state of mind while walking their dog. The man was yelling at passersby and was described as black, wearing a blue baseball cap, and not wearing a shirt. The user last saw him on a specific street and time. The admin thanks the user for using the safety app and asks for more details about the man's appearance and direction. The user provides more information and the admin informs them that the police have been notified. The user thanks the admin.",5,1,24,37.3,99,39.59,83,12,20.83,91.67,70.83,54.17,20.83,12.5,0,0,8.33,4.17,0,8.33,12.5,0,0,12.5,8.33,0,4.17,0,25,4.17,0,0,0,0,0,16.67,0,16.67,0,4.17,4.17,4.17,0,4.17,0,4.17,4.17,0,0,0,0,0,0,0,0,29.17,12.5,4.17,4.17,0,0,8.33,16.67,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,4.17,12.5,4.17,0,0,4.17,8.33,8.33,0,0,0,0,0,0,8.33,0,0,4.17,4.17,0,0,0
women possibly student has been sitting outside [ORG] has been screaming and shouting randomly for the past ## minutes,"### or ## from south ## of location across from building",Thank you for contacting [ACRONYM]. What side of the [ORG] is this female on?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a woman, possibly a student, who has been sitting outside a location and screaming for the past ## minutes. The admin from [ACRONYM] asks for more information, specifically which side of the location the woman is on. The user responds that she is on the south entrance across from the building and describes her as a female wearing a green shirt, tribal pattern leggings, and a wrap over her head. The admin thanks the user and informs them that officers are on their way. 
 User: women possibly student has been sitting outside [ORG] has been screaming and shouting randomly for the past ## minutes
Dispatcher:",[],"A user reports a woman, possibly a student, who has been sitting outside a location and screaming for the past ## minutes. The admin from [ACRONYM] asks for more information, specifically which side of the location the woman is on. The user responds that she is on the south entrance across from the building and describes her as a female wearing a green shirt, tribal pattern leggings, and a wrap over her head. The admin thanks the user and informs them that officers are on their way.",6,1,14,89.52,99,2.36,98.65,7,14.29,85.71,71.43,57.14,21.43,7.14,0,0,7.14,0,0,14.29,14.29,7.14,0,21.43,7.14,0,0,0,14.29,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,21.43,7.14,7.14,7.14,0,0,7.14,14.29,0,0,7.14,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0,42.86,7.14,0,7.14,0,0,28.57,0
