instruction,response,output,prompt,history,summary,his_len,type
more of a mental health issue than safety I would say,"Yes.
","thats why we are here, have a good winter break","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: more of a mental health issue than safety I would say
Dispatcher:",[],,7,MentalHealth
i couldnt tell if she was joking but it was going on for awhile,"You should be fine. I'm going to send an officer over to your house to make sure you're okay.
",Thank you. The number for [ORG] is ###-###-####.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i couldnt tell if she was joking but it was going on for awhile
Dispatcher:",[],,5,MentalHealth
female,"I see. How old is this person? 
",[ACRONYM]. Why does my [ACRONYM] show you on [PERSON]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: seems intoxicated
Dispatcher: You seem to be mixing up pronouns. Is this person male or female? 
 User: female
Dispatcher:","[['seems intoxicated', 'You seem to be mixing up pronouns. Is this person male or female?']]",,6,MentalHealth
they are throwing them at people,"What?
",How is your vacation?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they are throwing them at people
Dispatcher:",[],,2,MentalHealth
submarine is what i thought. at least it works to my phone..i am not scared no more ...,"Good. I am glad to hear that. 
",Does it make a submarine sound on your phone?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: we r checking on you
Dispatcher: I am checking back on you. Test. 
 User: i am alive and well...test
Dispatcher: Have you heard the noise this thing makes when a ""tip"" comes in. It sounds like an alien aircraft. 
 User: i like it you can tell what it is and gets attention
Dispatcher: It definitely does. I had to figure out what the noise was and where it was coming from. It could be a submarine sound too. 
 User: submarine is what i thought. at least it works to my phone..i am not scared no more...
Dispatcher:","[['we r checking on you', 'I am checking back on you. Test.'], ['i am alive and well ...test', 'Have you heard the noise this thing makes when a ""tip"" comes in. It sounds like an alien aircraft.'], ['i like it you can tell what it is and gets attention', 'It definitely does. I had to figure out what the noise was and where it was coming from. It could be a submarine sound too.']]",,10,MentalHealth
"great. as I learned from ocean rescue, you can't be overly cautious. always worth checking someone out just in case. thanks for your service.","You're welcome. Have a good day.
",thank you for letting us know. we always want to make contact to verify if there is any need for service.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: we're you able to locate the person of interest?
Dispatcher: Thank you, we met with the woman and she was waiting for the library to open at noon. She has decided to leave until later. 
 User: great. as I learned from ocean rescue, you can't be overly cautious. always worth checking someone out just in case. thanks for your service.
Dispatcher:","[[""we're you able to locate the person of interest?"", 'Thank you, we met with the woman and she was waiting for the library to open at noon. She has decided to leave until later.']]",,12,MentalHealth
"i will, thank you for your help","ok, just let me know if you need anything else
","ok, i will check the site and check the area. Thanks for the info. If you area able to find out anything else, please let us know","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i will, thank you for your help
Dispatcher:",[],,3,MentalHealth
here until [QUANTITY],"hello, welcome to the police department.
",Ok thanks an offcer will be by shortly,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: here until [QUANTITY]
Dispatcher:",[],,4,MentalHealth
ok,"ok, what's the problem?
",he is on his way to you now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ok
Dispatcher:",[],,7,MentalHealth
ok thank you,"[ORG] [ACRONYM] [ACRONYM] CONTACT [ACRONYM] [ACRONYM] INDIVIDUAL [ACRONYM] EVERYTHING [ACRONYM] [ACRONYM]. 
",[ACRONYM] [ACRONYM] [ACRONYM] REPORTING [ACRONYM] IN[ACRONYM]MATION [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: the app
Dispatcher: [ORG] [ACRONYM] [ACRONYM] CONTACT [ACRONYM] [ACRONYM] INDIVIDUAL [ACRONYM] EVERYTHING [ACRONYM] [ACRONYM]. 
 User: ok thank you
Dispatcher:","[['the app', '[ORG] [ACRONYM] [ACRONYM] CONTACT [ACRONYM] [ACRONYM] INDIVIDUAL [ACRONYM] EVERYTHING [ACRONYM] [ACRONYM].']]",,6,MentalHealth
Thank you. He has also mentioned that he is taking a prescription drug [UNK-NNP] as well.,"OK.
","No problem and thank you for the updates as well, any other information is appreciated.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thank you. He has also mentioned that he is taking a prescription drug [UNK-NNP] as well.
Dispatcher:",[],,11,MentalHealth
